NO,관리코드,수주번호,고객사,모델,품명,PO유형,영업단계,진행상태,담당자,전체진척률(%),설계검토,3D/2D설계,BOM작성,가공발주,"제안서
완료일","설계
완료일","가공의뢰
입고일",상태,메모
36,005T2601,T-260126,드림텍,SM-L716 BAROMETER,10기압 기능검사기(UK3S),추가,수주확정,진행중,,,,,,,,,,,
37,028T2601,T-260323,두성테크,SM-A27B USB PBA,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
38,029T2601,T-260323-2,두성테크,SM-A27B USB PBA,VSWR검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
39,028T2601,T-260323-3,두성테크,SM-A27B USB PBA,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
40,029T2601,T-260323-4,두성테크,SM-A27B USB PBA,VSWR검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
41,028T2601,T-260323-5,두성테크,SM-A27BE USB PBA,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
42,029T2601,T-260323-6,두성테크,SM-A27BE USB PBA,VSWR검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
43,002T2604,T-260406-16,한국성전,VMF0971-0125003,VSWR 검사기- CASE 재활용,신규,수주확정,진행중,,,,,,,,,,,
44,020T2601,T-260408,두성테크,SM-F776U SUB PBA VK,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
45,021T2601,T-260408-2,두성테크,SM-F776U SUB PBA VK,방수검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
46,026T2601,T-260408-3,두성테크,SM-F971 SUB PBA VK,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
47,027T2601,T-260408-4,두성테크,SM-F971 SUB PBA VK,방수검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
48,003T2604,T-260406-8,드림텍,SM-F776 SUB,방수검사기(UK4S),신규,수주확정,진행중,,,,,,,,,,,
49,004T2604,T-260406-9,드림텍,SM-F776 SUB,기능검사기(UK4S),신규,수주확정,진행중,,,,,,,,,,,
50,004T2604,T-260406-10,드림텍,SM-F776 SUB,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
51,004T2604,T-260406-11,드림텍,SM-F776 SUB,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
52,009T2604,T-260407-2,파트론,B8,MT 지문센서 검사기 - 모델 교체부,기타,수주확정,진행중,,,,,,,,,,,
53,011T2604,T-260409-4,드림텍,SM-F776U SUB,VSWR검사기(UK4S),신규,수주확정,진행중,,,,,,,,,,,
54,033T2604,T-260409-5,드림텍,SM-F776U SUB,VSWR검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
55,034T2604,T-260409-6,드림텍,SM-F776U SUB,VSWR검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
56,023T2602,T-260413,드림텍,SM-S741 SUB,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
57,022T2603,T-260324-8,시노펙스,SM-F976U MAIN FRC,OS검사기_케이스포함,신규,수주확정,진행중,,,,,,,,,,,
58,022T2603,T-260407-4,시노펙스,SM-F976U MAIN FRC,OS검사기_MODIFY,수정,수주확정,진행중,,,,,,,,,,,
59,024T2603,T-260324-10,시노펙스,SM-F976U MAIN FRC,TDR+IL검사기_케이스포함,신규,수주확정,진행중,,,,,,,,,,,
60,024T2603,T-260410-4,시노펙스,SM-F976U MAIN FRC,TDR+IL검사기_MODIFY,수정,수주확정,진행중,,,,,,,,,,,
61,012T2604,T-260410,엠씨넥스,H8 MT,지문센서 검사기_모듈교체파트,신규,수주확정,진행중,,,,,,,,,,,
62,028T2601,T-260413-2,두성테크,SM-A27B USB PBA,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
63,029T2601,T-260413-3,두성테크,SM-A27B USB PBA,VSWR검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
64,028T2601,T-260413-4,두성테크,SM-A27BE USB PBA,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
65,029T2601,T-260413-5,두성테크,SM-A27BE USB PBA,VSWR검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
66,018T2602,T-260409-7,KNK VINA(드림텍),SM-F971U LOWER FPCB,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
67,017T2602,T-260409-8,KNK VINA(드림텍),SM-F971U MAIN LOWER HPCB,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
68,001T2601,T-260409-9,KNK VINA(드림텍),SM-F976U MAIN LOWER HPCB,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
69,016T2602,T-260409-10,KNK VINA(드림텍),SM-F976U MAIN LOWER FPCB,기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
70,003T2601,T-260409-11,KNK VINA(드림텍),SM-F776U PROXIMITY,기능검사기(UK4),추가,수주확정,진행중,,,,,,,,,,,
71,005T2603,T-260402,드림텍,SM-F976 GND PCB,ARRAY 기능 검사기 (전용케이스),추가,수주확정,진행중,,,,,,,,,,,
72,007T2604,T-260407-5,시노펙스,SM-F971U MAIN FRC,TDR+IL검사기_케이스포함,신규,수주확정,진행중,,,,,,,,,,,
73,015T2604,T-260413-6,두성테크,SM-F971U SUB TOP,성능검사기_케이스 포함,신규,수주확정,진행중,,,,,,,,,,,
74,016T2604,T-260413-7,두성테크,SM-F971U SUB TOP,근조도센서검사기_케이스 포함,신규,수주확정,진행중,,,,,,,,,,,
75,017T2604,T-260413-8,두성테크,SM-F971U SUB TOP,VSWR검사기_케이스 포함,신규,수주확정,진행중,,,,,,,,,,,
76,018T2604,T-260413-9,두성테크,SM-F976 SUB TOP PBA,성능검사기_케이스 포함,신규,수주확정,진행중,,,,,,,,,,,
77,019T2604,T-260413-10,두성테크,SM-F976 SUB TOP PBA,근조도센서검사기_케이스 포함,신규,수주확정,진행중,,,,,,,,,,,
78,020T2604,T-260413-11,두성테크,SM-F976 SUB TOP PBA,VSWR검사기_케이스 포함,신규,수주확정,진행중,,,,,,,,,,,
79,035T2603,T-260331-3,드림텍,STERI 700 MAIN BOARD,검사지그(UK3S),신규,수주확정,진행중,,,,,,,,,,,
80,017T2603,T-260316,드림텍,PRESSURE GAUGE,기능검사기(UK4),신규,수주확정,진행중,,,,,,,,,,,
81,036T2604,T-260423,드림텍,MES 프로그램,인도 출장,기타,수주확정,진행중,,,,,,,,,,,
82,023T2603,T-260324-9,시노펙스,SM-F976U MAIN FRC,VSWR검사기_케이스포함,신규,수주확정,진행중,,,,,,,,,,,
83,010T2601,T-260413-12,두성테크,Q8 FRC SUB PBA VK,방수검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
84,013T2604,T-260413-17,한국성전,VMF0976-0125004,VSWR 검사기- CASE 재활용,신규,수주확정,진행중,,,,,,,,,,,
85,014T2604,T-260413-18,한국성전,VMF0976-0125005,VSWR 검사기- CASE 재활용,신규,수주확정,진행중,,,,,,,,,,,
86,007T2511,T-260413-19,한국성전,HGU0690-930150,VOL FPCB 통합검사기(UK3S),추가,수주확정,진행중,,,,,,,,,,,
87,023T2604,T-260415,한국성전,VCF0776-0126000,센서검사기(UK4) 재활용,신규,수주확정,진행중,,,,,,,,,,,
88,024T2604,T-260415-2,한국성전,VFF0976-0126000,VSWR 검사기- CASE 재활용,신규,수주확정,진행중,,,,,,,,,,,
89,025T2604,T-260415-3,한국성전,VFF0976-0126000,TDR 검사기 - 케이스 신규(UK3S),신규,수주확정,진행중,,,,,,,,,,,
90,006T2601,T-260413-13,두성테크,SM-L345 HRM CTC PBA,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
91,006T2601,T-260413-14,두성테크,SM-L345 HRM CTC PBA,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
92,024T2601,T-260413-15,두성테크,SM-L345 SMALL KEY PBA,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
93,024T2601,T-260413-16,두성테크,SM-L345 SMALL KEY PBA,성능검사기_케이스 제외,추가,수주확정,진행중,,,,,,,,,,,
94,034T2511,T-260408-5,KNK VINA(드림텍),SM-L715 BAROMETER,5기압 기능검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
95,005T2601,T-260408-6,KNK VINA(드림텍),SM-L715 BAROMETER,10기압 기능검사기(UK3S),추가,수주확정,진행중,,,,,,,,,,,
96,021T2604,T-260414,파인텍,IHVN-JG1,SENSOR OS 검사기(전용케이스),신규,수주확정,진행중,,,,,,,,,,,
97,010T2602,T-260414-2,삼진,QN-80H,IR FUNCTION 검사기 - 케이스 일체형,추가,수주확정,진행중,,,,,,,,,,,
98,006T2512,T-260413-20,한국성전,VTR0640-0125000,LEFT 기능검사기(UK3S),추가,수주확정,진행중,,,,,,,,,,,
99,007T2512,T-260413-21,한국성전,VTR0640-0125001,RIGHT 기능검사기(UK3S),추가,수주확정,진행중,,,,,,,,,,,
100,002T2604,T-260414-3,지엔테크놀러지,ZNB-400,모듈검사기_케이스 제외,신규,수주확정,진행중,,,,,,,,,,,
101,024T2602,T-260226-2,드림텍,SM-S741 SUB,VSWR 검사기(UK4S),신규,수주확정,진행중,,,,,,,,,,,
102,024T2602,T-260226-3,드림텍,SM-S741 SUB,VSWR 검사기(UK4S),추가,수주확정,진행중,,,,,,,,,,,
103,035T2604,T-260309,드림텍,MES 프로그램,MES 고도화 프로그램 개발,기타,수주확정,진행중,,,,,,,,,,,
104,032T2603,T-260331-12,한국성전,VMF0976-0125002,ARRAY TYPE 기능검사기,신규,수주확정,진행중,,,,,,,,,,,
105,007T2512,T-260425,한국성전,VTR0640-0125001,RIGHT 기능검사기(UK3S),추가,수주확정,,,,,,,,,,,,
106,001T2605,T-260425-2,한국성전,KTR0640-0125001,RIGHT 기능검사기(UK4S),,,,,,,,,,,,,,
