시트,R,관리코드,가공팀_값
4_완료이력,37,013T2512,
4_완료이력,38,014T2512,
4_완료이력,39,012T2603,
4_완료이력,40,013T2603,
4_완료이력,41,014T2603,
4_완료이력,42,008T2603,
4_완료이력,43,030T2601,
4_완료이력,44,030T2601,
4_완료이력,45,030T2601,
4_완료이력,46,030T2601,
4_완료이력,47,030T2601,
4_완료이력,48,019T2603,
4_완료이력,49,019T2603,
4_완료이력,50,019T2603,
4_완료이력,51,018T2601,
4_완료이력,52,028T2601,
4_완료이력,53,029T2601,
4_완료이력,54,028T2601,
4_완료이력,55,029T2601,
4_완료이력,56,021T2603,
4_완료이력,57,017T2601,
4_완료이력,58,025T2603,
4_완료이력,59,033T2603,
4_완료이력,60,001T2602,
4_완료이력,61,002T2602,
4_완료이력,62,007T2601,
4_완료이력,63,013T2602,
4_완료이력,64,013T2602,
4_완료이력,65,014T2602,
4_완료이력,66,016T2603,
4_완료이력,67,018T2603,
4_완료이력,68,013T2602,
4_완료이력,69,014T2602,
4_완료이력,70,015T2602,
4_완료이력,71,001T2603,
4_완료이력,72,002T2603,
4_완료이력,73,007T2603,
