표,컬럼수,기본키,기본키종류,FK(원본),FK(PG실제),CHECK(원본),CHECK(PG실제),인덱스(원본),인덱스(PG실제)
retired_mgmt_codes,5,mgmt_code,단일,0,0,0,0,0,0
rnd_logs,9,id,단일,0,0,0,0,1,2
rnd_projects,17,id,단일,0,0,0,0,2,3
sales_opportunities,29,id,단일,0,0,0,0,2,3
sales_opportunity_files,8,id,단일,0,0,0,0,1,2
schedule_board_day_memos,7,id,단일,0,0,0,0,1,1
schedule_board_memos,6,id,단일,0,0,0,0,1,1
shared_contacts,20,id,단일,3,3,0,0,4,5
shipments,6,id,단일,2,2,0,0,1,2
stage_notify_log,5,-,없음,0,0,0,0,1,0
stock_adjustments,11,id,단일,4,4,1,1,2,3
stock_audit_items,11,id,단일,3,3,1,1,3,4
stock_audits,8,id,단일,1,1,1,1,3,3
stock_movements,21,id,단일,6,6,0,0,6,6
suppliers,20,id,단일,0,0,0,0,2,2
task_comments,7,id,단일,3,3,0,0,2,3
task_delegations,8,id,단일,3,3,0,0,2,3
task_reactions,5,id,단일,2,2,0,0,2,2
tasks,19,id,단일,4,4,0,0,6,7
tax_invoice_lines,11,id,단일,1,1,0,0,1,2
tax_invoices,13,id,단일,0,0,0,0,0,1
team_history,8,id,단일,0,0,0,0,1,2
team_summaries,8,id,단일,2,2,0,0,2,2
teams,9,id,단일,1,1,0,0,1,1
ticket_comments,6,id,단일,2,2,0,0,1,2
tickets,24,id,단일,4,4,0,0,6,6
user_groups,2,"user_id,group_id",복합,2,2,0,0,0,1
user_history,8,id,단일,0,0,0,0,1,2
user_mail_creds,4,user_id,단일,1,1,0,0,0,1
user_view_prefs,5,id,단일,0,0,0,0,1,1
users,28,id,단일,1,1,0,0,5,5
work_order,21,id,단일,0,0,0,0,3,4
work_order_items,9,id,단일,2,2,1,1,1,2
work_orders,17,id,단일,5,5,1,1,5,5
workflow_handoffs,8,id,단일,0,0,0,0,1,2
workflow_nodes_master,15,node_code,단일,0,0,0,0,0,0
workflow_template_nodes,5,id,단일,2,0,0,0,0,1
workflow_templates,10,id,단일,0,0,0,0,1,1
