표,컬럼,SQLite선언,PostgreSQL,분류,근거규정
audit_attachments,adjustment_id,INTEGER,bigint,정수,-
audit_attachments,file_path,TEXT,text,글자,-
audit_attachments,file_name,TEXT,text,글자,-
audit_attachments,uploaded_by,INTEGER,bigint,정수,-
audit_attachments,uploaded_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
bills_of_lading,id,INTEGER,bigint identity,기본키(자동증가),-
bills_of_lading,bl_no,TEXT,text,글자,-
bills_of_lading,export_order_id,INTEGER,bigint,정수,-
bills_of_lading,shipping_company,TEXT,text,글자,-
bills_of_lading,vessel,TEXT,text,글자,-
bills_of_lading,departure_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
bills_of_lading,arrival_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
bills_of_lading,tracking_no,TEXT,text,글자,-
bills_of_lading,status,TEXT,text,글자,-
bills_of_lading,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
board_comments,id,INTEGER,bigint identity,기본키(자동증가),-
board_comments,post_id,INTEGER,bigint,정수,-
board_comments,author_id,INTEGER,bigint,정수,-
board_comments,body,TEXT,text,글자,-
board_comments,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
board_posts,id,INTEGER,bigint identity,기본키(자동증가),-
board_posts,board_id,INTEGER,bigint,정수,-
board_posts,author_id,INTEGER,bigint,정수,-
board_posts,title,TEXT,text,글자,-
board_posts,body,TEXT,text,글자,-
board_posts,category,TEXT,text,글자,-
board_posts,is_pinned,INTEGER,bigint,정수,-
board_posts,view_count,INTEGER,bigint,수량,z1048 수량=정수
board_posts,approval_status,TEXT,text,글자,-
board_posts,approved_by,INTEGER,bigint,정수,-
board_posts,approved_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
board_posts,reject_reason,TEXT,text,글자,-
board_posts,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
board_posts,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
boards,id,INTEGER,bigint identity,기본키(자동증가),-
boards,name,TEXT,text,글자,-
boards,type,TEXT,text,글자,-
boards,team_id,INTEGER,bigint,정수,-
boards,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
bom_item_history,id,INTEGER,bigint identity,기본키(자동증가),-
bom_item_history,item_id,INTEGER,bigint,정수,-
bom_item_history,project_id,INTEGER,bigint,정수,-
bom_item_history,upload_id,INTEGER,bigint,정수,-
bom_item_history,change_type,TEXT,text,글자,-
bom_item_history,field,TEXT,text,글자,-
bom_item_history,old_value,TEXT,text,글자,-
bom_item_history,new_value,TEXT,text,글자,-
bom_item_history,source,TEXT,text,글자,-
bom_item_history,note,TEXT,text,글자,-
bom_item_history,changed_by,INTEGER,bigint,정수,-
bom_item_history,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
bom_items,id,INTEGER,bigint identity,기본키(자동증가),-
bom_items,project_id,INTEGER,bigint,정수,-
bom_items,item_type,TEXT,text,글자,-
bom_items,category,TEXT,text,글자,-
bom_items,unit_code,TEXT,text,글자,-
bom_items,line_no,INTEGER,bigint,정수,-
bom_items,part_no,TEXT,text,글자,-
bom_items,part_no_norm,TEXT,text,글자,-
bom_items,part_name,TEXT,text,글자,-
bom_items,maker,TEXT,text,글자,-
bom_items,vendor,TEXT,text,글자,-
bom_items,material,TEXT,text,글자,-
bom_items,finishing,TEXT,text,글자,-
bom_items,unit_count,REAL,bigint,수량,z1048 수량=정수
bom_items,total_qty,REAL,bigint,수량,z1048 수량=정수
bom_items,unit,TEXT,text,글자,-
bom_items,unit_price,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
bom_items,currency,TEXT,text,글자,-
bom_items,amount,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
bom_items,delivery_text,TEXT,text,글자,-
bom_items,buy_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
bom_items,part_id,INTEGER,bigint,정수,-
bom_items,order_status,TEXT,text,글자,-
bom_items,review_flag,INTEGER,bigint,정수,-
bom_items,status,TEXT,text,글자,-
bom_items,remarks,TEXT,text,글자,-
bom_items,first_upload_id,INTEGER,bigint,정수,-
bom_items,last_upload_id,INTEGER,bigint,정수,-
bom_items,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
bom_items,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
bom_uploads,id,INTEGER,bigint identity,기본키(자동증가),-
bom_uploads,project_id,INTEGER,bigint,정수,-
bom_uploads,version_no,INTEGER,bigint,정수,-
bom_uploads,source_filename,TEXT,text,글자,-
bom_uploads,sheet_names,TEXT,text,글자,-
bom_uploads,mode,TEXT,text,글자,-
bom_uploads,added,INTEGER,bigint,정수,-
bom_uploads,changed,INTEGER,bigint,정수,-
bom_uploads,deleted,INTEGER,bigint,정수,-
bom_uploads,missing,INTEGER,bigint,정수,-
bom_uploads,ordered_warn,INTEGER,bigint,정수,-
bom_uploads,uploaded_by,INTEGER,bigint,정수,-
bom_uploads,note,TEXT,text,글자,-
bom_uploads,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
catalog_favorites,user_id,INTEGER,bigint,정수,-
catalog_favorites,part_id,INTEGER,bigint,정수,-
catalog_favorites,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
change_impacts,id,INTEGER,bigint identity,기본키(자동증가),-
change_impacts,change_id,INTEGER,bigint,정수,-
change_impacts,impact_kind,TEXT,text,글자,-
change_impacts,impact_team_id,INTEGER,bigint,정수,-
change_impacts,impact_user_id,INTEGER,bigint,정수,-
change_impacts,auto_detected,INTEGER,bigint,정수,-
change_impacts,impact_reason,TEXT,text,글자,-
change_reads,id,INTEGER,bigint identity,기본키(자동증가),-
change_reads,change_id,INTEGER,bigint,정수,-
change_reads,user_id,INTEGER,bigint,정수,-
change_reads,read_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
change_reads,ack_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
change_reads,ack_note,TEXT,text,글자,-
changes,id,INTEGER,bigint identity,기본키(자동증가),-
changes,change_no,TEXT,text,글자,-
changes,change_type,TEXT,text,글자,-
changes,biz_div,TEXT,text,글자,-
changes,target_kind,TEXT,text,글자,-
changes,target_id,INTEGER,bigint,정수,-
changes,target_label,TEXT,text,글자,-
changes,project_id,INTEGER,bigint,정수,-
changes,title,TEXT,text,글자,-
changes,description,TEXT,text,글자,-
changes,before_value,TEXT,text,글자,-
changes,after_value,TEXT,text,글자,-
changes,attached_files,TEXT,text,글자,-
changes,urgency,TEXT,text,글자,-
changes,author_id,INTEGER,bigint,정수,-
changes,status,TEXT,text,글자,-
changes,notified_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
changes,completed_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
changes,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
changes,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
changes,source,TEXT,text,글자,-
changes,source_ref,TEXT,text,글자,-
changes,approval_url,TEXT,text,글자,-
comment_mentions,id,INTEGER,bigint identity,기본키(자동증가),-
comment_mentions,comment_id,INTEGER,bigint,정수,-
comment_mentions,user_id,INTEGER,bigint,정수,-
commercial_invoices,id,INTEGER,bigint identity,기본키(자동증가),-
commercial_invoices,invoice_no,TEXT,text,글자,-
commercial_invoices,export_order_id,INTEGER,bigint,정수,-
commercial_invoices,issue_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
commercial_invoices,total_amount,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
commercial_invoices,currency,TEXT,text,글자,-
commercial_invoices,signed_by,INTEGER,bigint,정수,-
commercial_invoices,status,TEXT,text,글자,-
commercial_invoices,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
consumable_history,id,INTEGER,bigint identity,기본키(자동증가),-
consumable_history,co_id,INTEGER,bigint,정수,-
consumable_history,item_id,INTEGER,bigint,정수,-
consumable_history,scope,TEXT,text,글자,-
consumable_history,field,TEXT,text,글자,-
consumable_history,label,TEXT,text,글자,-
consumable_history,old_value,TEXT,text,글자,-
consumable_history,new_value,TEXT,text,글자,-
consumable_history,changed_by,INTEGER,bigint,정수,-
consumable_history,changed_by_name,TEXT,text,글자,-
consumable_history,changed_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
consumable_order_items,id,INTEGER,bigint identity,기본키(자동증가),-
consumable_order_items,co_id,INTEGER,bigint,정수,-
consumable_order_items,line_no,INTEGER,bigint,정수,-
consumable_order_items,model_use,TEXT,text,글자,-
consumable_order_items,part_id,INTEGER,bigint,정수,-
consumable_order_items,part_name,TEXT,text,글자,-
consumable_order_items,spec,TEXT,text,글자,-
consumable_order_items,qty,REAL,bigint,수량,z1048 수량=정수
consumable_order_items,unit,TEXT,text,글자,-
consumable_order_items,unit_price,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
consumable_order_items,amount,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
consumable_order_items,linked_project_id,INTEGER,bigint,정수,-
consumable_order_items,note,TEXT,text,글자,-
consumable_order_items,image_path,TEXT,text,글자,-
consumable_order_items,image_thumb_path,TEXT,text,글자,-
consumable_order_items,image_loc_path,TEXT,text,글자,-
consumable_order_items,image_loc_thumb_path,TEXT,text,글자,-
consumable_order_items,equip_name,TEXT,text,글자,-
consumable_orders,id,INTEGER,bigint identity,기본키(자동증가),-
consumable_orders,co_no,TEXT,text,글자,-
consumable_orders,customer_id,INTEGER,bigint,정수,-
consumable_orders,customer_name,TEXT,text,글자,-
consumable_orders,order_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
consumable_orders,due_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
consumable_orders,currency,TEXT,text,글자,-
consumable_orders,total_amount,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
consumable_orders,status,TEXT,text,글자,-
consumable_orders,note,TEXT,text,글자,-
consumable_orders,source_file,TEXT,text,글자,-
consumable_orders,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
consumable_orders,created_by,INTEGER,bigint,정수,-
consumable_orders,mgmt_code,TEXT,text,글자,-
consumable_orders,biz_div,TEXT,text,글자,-
consumable_orders,cc_dept,TEXT,text,글자,-
consumable_orders,cc_name,TEXT,text,글자,-
consumable_orders,ship_to,TEXT,text,글자,-
consumable_orders,is_export,INTEGER,bigint,정수,-
consumable_orders,secondary_customer,TEXT,text,글자,-
consumable_orders,cc_phone,TEXT,text,글자,-
consumable_orders,model_name,TEXT,text,글자,-
consumable_orders,equip_name,TEXT,text,글자,-
consumable_orders,sales_name,TEXT,text,글자,-
consumable_orders,statement_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
consumable_orders,tax_invoice_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
consumable_orders,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
consumable_orders,tax_invoice_amt1,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
consumable_orders,tax_invoice_date2,TEXT,text,글자,-
consumable_orders,tax_invoice_amt2,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
consumable_orders,tax_invoice_date3,TEXT,text,글자,-
consumable_orders,tax_invoice_amt3,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
consumable_orders,form_type,TEXT,text,글자,-
consumable_orders,notify_recipients,TEXT,text,글자,-
consumable_orders,notify_dept_names,TEXT,text,글자,-
consumable_orders,notify_user_ids,TEXT,text,글자,-
consumable_orders,notify_team_ids,TEXT,text,글자,-
consumable_orders,notify_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
consumable_orders,notify_by_name,TEXT,text,글자,-
consumable_orders,notify_sent_to,INTEGER,bigint,정수,-
consumable_orders,notify_dept_count,INTEGER,bigint,수량,z1048 수량=정수
consumable_orders,notify_msg_sent,INTEGER,bigint,정수,-
consumable_orders,status_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
corrective_actions,id,INTEGER,bigint identity,기본키(자동증가),-
corrective_actions,issue_id,INTEGER,bigint,정수,-
corrective_actions,action,TEXT,text,글자,-
corrective_actions,responsible,INTEGER,bigint,정수,-
corrective_actions,due_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
corrective_actions,completed_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
corrective_actions,status,TEXT,text,글자,-
corrective_actions,created_by,INTEGER,bigint,정수,-
corrective_actions,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
corrective_actions,lifecycle_status,TEXT,text,글자,-
corrective_actions,approved_by,INTEGER,bigint,정수,-
corrective_actions,approved_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
corrective_actions,verified_by,INTEGER,bigint,정수,-
corrective_actions,verified_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
corrective_actions,effectiveness_note,TEXT,text,글자,-
cost_simulations,id,INTEGER,bigint identity,기본키(자동증가),-
cost_simulations,part_id,INTEGER,bigint,정수,-
cost_simulations,simulated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
cost_simulations,base_currency,TEXT,text,글자,-
cost_simulations,target_currency,TEXT,text,글자,-
cost_simulations,exchange_rate,REAL,numeric,비율·환율·중량,z1048 예외(소수 정당)
cost_simulations,unit_price_base,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
cost_simulations,unit_price_target,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
cost_simulations,margin_pct,REAL,numeric,비율·환율·중량,z1048 예외(소수 정당)
cost_simulations,note,TEXT,text,글자,-
cost_simulations,created_by,INTEGER,bigint,정수,-
cost_simulations,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
countries_master,code,TEXT,text,글자,-
countries_master,name_ko,TEXT,text,글자,-
countries_master,name_en,TEXT,text,글자,-
countries_master,region,TEXT,text,글자,-
countries_master,is_active,INTEGER,bigint,정수,-
countries_master,display_order,INTEGER,bigint,정수,-
countries_master,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
customer_contacts,id,INTEGER,bigint identity,기본키(자동증가),-
customer_contacts,customer_id,INTEGER,bigint,정수,-
customer_contacts,role,TEXT,text,글자,-
customer_contacts,department,TEXT,text,글자,-
customer_contacts,name,TEXT,text,글자,-
customer_contacts,position,TEXT,text,글자,-
customer_contacts,phone,TEXT,text,글자,-
customer_contacts,mobile,TEXT,text,글자,-
customer_contacts,email,TEXT,text,글자,-
customer_contacts,is_primary,INTEGER,bigint,정수,-
customer_contacts,note,TEXT,text,글자,-
customer_contacts,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
customer_history,id,INTEGER,bigint identity,기본키(자동증가),-
customer_history,customer_id,INTEGER,bigint,정수,-
customer_history,changed_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
customer_history,changed_by,INTEGER,bigint,정수,-
customer_history,field,TEXT,text,글자,-
customer_history,old_value,TEXT,text,글자,-
customer_history,new_value,TEXT,text,글자,-
customer_history,note,TEXT,text,글자,-
customers,id,INTEGER,bigint identity,기본키(자동증가),-
customers,name,TEXT,text,글자,-
customers,tier,TEXT,text,글자,-
customers,note,TEXT,text,글자,-
customers,biz_no,TEXT,text,글자,-
customers,ceo_name,TEXT,text,글자,-
customers,manager_name,TEXT,text,글자,-
customers,phone,TEXT,text,글자,-
customers,email,TEXT,text,글자,-
customers,address,TEXT,text,글자,-
customers,is_active,INTEGER,bigint,정수,-
customers,tier_score,INTEGER,numeric,비율·환율·중량,z1048 예외(소수 정당)
customers,tier_computed_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
customers,tier_breakdown,TEXT,text,글자,-
customers,code,TEXT,text,글자,-
customers,business_type,TEXT,text,글자,-
customers,business_item,TEXT,text,글자,-
customers,zipcode,TEXT,text,글자,-
customers,address_detail,TEXT,text,글자,-
customers,fax,TEXT,text,글자,-
customers,sub_biz_no,TEXT,text,글자,-
customers,is_overseas,INTEGER,bigint,정수,-
customers,country,TEXT,text,글자,-
customers,alias,TEXT,text,글자,-
customers,pay_days,INTEGER,bigint,정수,-
customs_declarations,id,INTEGER,bigint identity,기본키(자동증가),-
customs_declarations,declaration_no,TEXT,text,글자,-
customs_declarations,export_order_id,INTEGER,bigint,정수,-
customs_declarations,hs_code,TEXT,text,글자,-
customs_declarations,fta_origin,TEXT,text,글자,-
customs_declarations,declared_value,REAL,double precision,실수(비금액),-
customs_declarations,cleared_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
customs_declarations,status,TEXT,text,글자,-
customs_declarations,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
delegation_audit,id,INTEGER,bigint identity,기본키(자동증가),-
delegation_audit,token_id,INTEGER,bigint,정수,-
delegation_audit,action,TEXT,text,글자,-
delegation_audit,actor,INTEGER,bigint,정수,-
delegation_audit,timestamp,TEXT,text,글자,-
delegation_audit,details,TEXT,text,글자,-
delegation_tokens,id,INTEGER,bigint identity,기본키(자동증가),-
delegation_tokens,from_user,INTEGER,bigint,정수,-
delegation_tokens,to_user,INTEGER,bigint,정수,-
delegation_tokens,permission_id,INTEGER,bigint,정수,-
delegation_tokens,expires_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
delegation_tokens,can_redelegate,INTEGER,bigint,정수,-
delegation_tokens,status,TEXT,text,글자,-
delegation_tokens,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
dept_schedule_log,id,INTEGER,bigint identity,기본키(자동증가),-
dept_schedule_log,ref_kind,TEXT,text,글자,-
dept_schedule_log,ref_id,INTEGER,bigint,정수,-
dept_schedule_log,log_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
dept_schedule_log,dept,TEXT,text,글자,-
dept_schedule_log,log_type,TEXT,text,글자,-
dept_schedule_log,content,TEXT,text,글자,-
dept_schedule_log,created_by,INTEGER,bigint,정수,-
dept_schedule_log,created_by_name,TEXT,text,글자,-
dept_schedule_log,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
dept_schedule_log,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
dept_schedule_log,handoff_to,TEXT,text,글자,-
dept_schedule_log,unit_label,TEXT,text,글자,-
dept_schedule_log,hours,REAL,double precision,실수(비금액),-
exchange_rates,id,INTEGER,bigint identity,기본키(자동증가),-
exchange_rates,rate_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
exchange_rates,from_currency,TEXT,text,글자,-
exchange_rates,to_currency,TEXT,text,글자,-
exchange_rates,rate,REAL,numeric,비율·환율·중량,z1048 예외(소수 정당)
exchange_rates,source,TEXT,text,글자,-
exchange_rates,note,TEXT,text,글자,-
exchange_rates,created_by,INTEGER,bigint,정수,-
exchange_rates,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
export_boxes,project_id,INTEGER,bigint,정수,-
export_boxes,box_no,TEXT,text,글자,-
export_boxes,weight_kg,REAL,numeric,비율·환율·중량,z1048 예외(소수 정당)
export_boxes,box_size,TEXT,text,글자,-
export_boxes,updated_by,INTEGER,bigint,정수,-
export_boxes,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
export_doc_meta,project_id,INTEGER,bigint identity,기본키(자동증가),-
export_doc_meta,invoice_no,TEXT,text,글자,-
export_doc_meta,invoice_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
export_doc_meta,consignee,TEXT,text,글자,-
export_doc_meta,notify,TEXT,text,글자,-
export_doc_meta,port_loading,TEXT,text,글자,-
export_doc_meta,final_dest,TEXT,text,글자,-
export_doc_meta,carrier,TEXT,text,글자,-
export_doc_meta,sailing_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
export_doc_meta,lc_no,TEXT,text,글자,-
export_doc_meta,payment,TEXT,text,글자,-
export_doc_meta,issuing_bank,TEXT,text,글자,-
export_doc_meta,incoterms,TEXT,text,글자,-
export_doc_meta,remarks,TEXT,text,글자,-
export_doc_meta,updated_by,INTEGER,bigint,정수,-
export_doc_meta,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
export_hs_dict,id,INTEGER,bigint identity,기본키(자동증가),-
export_hs_dict,part_key,TEXT,text,글자,-
export_hs_dict,model,TEXT,text,글자,-
export_hs_dict,name_en,TEXT,text,글자,-
export_hs_dict,vn_name,TEXT,text,글자,-
export_hs_dict,hs_code,TEXT,text,글자,-
export_hs_dict,origin,TEXT,text,글자,-
export_hs_dict,duty,TEXT,text,글자,-
export_hs_dict,vat,TEXT,text,글자,-
export_hs_dict,status,TEXT,text,글자,-
export_hs_dict,seen_count,INTEGER,bigint,수량,z1048 수량=정수
export_hs_dict,first_seen,TEXT,text,글자,-
export_hs_dict,last_seen,TEXT,text,글자,-
export_hs_dict,source_file,TEXT,text,글자,-
export_hs_dict,note,TEXT,text,글자,-
export_hs_dict,updated_by,INTEGER,bigint,정수,-
export_hs_dict,updated_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
export_hs_dict,review_file,TEXT,text,글자,-
export_hs_dict,review_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
export_orders,id,INTEGER,bigint identity,기본키(자동증가),-
export_orders,order_id,INTEGER,bigint,정수,-
export_orders,buyer,TEXT,text,글자,-
export_orders,shipping_terms,TEXT,text,글자,-
export_orders,payment_terms,TEXT,text,글자,-
export_orders,port_of_loading,TEXT,text,글자,-
export_orders,port_of_discharge,TEXT,text,글자,-
export_orders,status,TEXT,text,글자,-
export_orders,created_by,INTEGER,bigint,정수,-
export_orders,created_at,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
field_access_policy,category,TEXT,text,글자,-
field_access_policy,team_id,INTEGER,bigint,정수,-
fta_certificate_items,id,INTEGER,bigint identity,기본키(자동증가),-
fta_certificate_items,cert_id,INTEGER,bigint,정수,-
fta_certificate_items,line_no,INTEGER,bigint,정수,-
fta_certificate_items,part_id,INTEGER,bigint,정수,-
fta_certificate_items,part_name,TEXT,text,글자,-
fta_certificate_items,hs_code,TEXT,text,글자,-
fta_certificate_items,qty,REAL,bigint,수량,z1048 수량=정수
fta_certificate_items,unit,TEXT,text,글자,-
fta_certificate_items,unit_price,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
fta_certificate_items,origin_country,TEXT,text,글자,-
fta_certificate_items,total,REAL,numeric,금액,z1026 원화=정수·외화 2자리 / 부동소수점 금지
fta_certificates,id,INTEGER,bigint identity,기본키(자동증가),-
fta_certificates,cert_no,TEXT,text,글자,-
fta_certificates,fta_type,TEXT,text,글자,-
fta_certificates,customer_id,INTEGER,bigint,정수,-
fta_certificates,customer_name,TEXT,text,글자,-
fta_certificates,customer_address,TEXT,text,글자,-
fta_certificates,customer_country,TEXT,text,글자,-
fta_certificates,export_order_id,INTEGER,bigint,정수,-
fta_certificates,export_invoice_no,TEXT,text,글자,-
fta_certificates,export_date,TEXT,text,날짜·시각,WP-02 대표결정(1차 글자 유지)+시간대표준 v1
fta_certificates,origin_country,TEXT,text,글자,-
